fecha_divulgada,nombre_proyecto,tipo_documento,numero_proyecto,url_proyecto,linea_producto,nombre_empresa,pais,codigo_pais_ifc,industria,categoria_ambiental,departamento,estado,inversion_ifc_gestion_riesgo_millones_usd,inversion_ifc_garantia_millones_usd,inversion_ifc_prestamo_millones_usd,inversion_ifc_capital_millones_usd,total_inversion_ifc_aprobada_junta_millones_usd,codigo_pais_bm
2011-09-29, IFC Climate Catalyst Fund ,Summary of Proposed Investment (Disclosure Policy 2006),30909,https://disclosures.ifc.org/project-detail/SPI/30909/-ifc-climate-catalyst-fund-,Equity,"IFC CATALYST FUND, LP",World Region,WLD,Agribusiness and Forestry,FI,"Disruptive Tech, Service & Funds",Active,0.0,0.0,0.0,75.0,75.0,99
2011-06-29,ECOM Global,Summary of Proposed Investment (Disclosure Policy 2006),30789,https://disclosures.ifc.org/project-detail/SPI/30789/ecom-global,Loan,ECOM Agroindustrial Corp. Limited,World Region,WLD,Agribusiness and Forestry,A,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,0.0,0.0,50.0,0.0,50.0,99
2011-07-29,Cleantech Innovation Facility,Summary of Proposed Investment (Disclosure Policy 2006),28335,https://disclosures.ifc.org/project-detail/SPI/28335/cleantech-innovation-facility,Equity,Cleantech Innovation Facility,World Region,WLD,Financial Institutions,FI,"Disruptive Tech, Service & Funds",Completed,0.0,0.0,0.0,45.0,45.0,99
2011-05-23,SunEdison,Summary of Proposed Investment (Disclosure Policy 2006),28053,https://disclosures.ifc.org/project-detail/SPI/28053/sunedison,Equity,SunEdison Energy Holding (Singapore) Pte Ltd,World Region,WLD,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,0.0,0.0,0.0,55.0,55.0,99
2011-05-27,DB FX Facility,Summary of Proposed Investment (Disclosure Policy 2006),30572,https://disclosures.ifc.org/project-detail/SPI/30572/db-fx-facility,Risk Management,LCRS-DB,World Region,WLD,Financial Institutions,FI,Banking and Capital Markets,Pending Signing,100.0,0.0,0.0,0.0,100.0,99
2011-03-10,IFC Global Infrastructure Fund,Summary of Proposed Investment (Disclosure Policy 2006),30354,https://disclosures.ifc.org/project-detail/SPI/30354/ifc-global-infrastructure-fund,Equity,"IFC GLOBAL INFRASTRUCTURE FUND, LP",World Region,WLD,Infrastructure,FI,"Disruptive Tech, Service & Funds",Active,0.0,0.0,0.0,200.0,200.0,99
2011-03-01,TCX Fund,Summary of Proposed Investment (Disclosure Policy 2006),29052,https://disclosures.ifc.org/project-detail/SPI/29052/tcx-fund,Equity,The Currency Exchange Fund N.V.,World Region,WLD,Funds,C,"Global Industry, Financial Markets",Active,0.0,0.0,0.0,30.0,30.0,99
2011-02-03,First Cravings,Summary of Proposed Investment (Disclosure Policy 2006),30116,https://disclosures.ifc.org/project-detail/SPI/30116/first-cravings,Loan,TCG HOLDINGS INC.,Philippines,PHL,Health and Education,B,"Gbl Ind, Manufact, Agribus &amp; Services",Active,0.0,0.0,15.83,7.91,23.74,PH
2010-12-10,Altobridge,Summary of Proposed Investment (Disclosure Policy 2006),30402,https://disclosures.ifc.org/project-detail/SPI/30402/altobridge,Equity,ALTOBRIDGE LIMITED,World Region,WLD,"Telecommunications, Media, and Technology",C,"TMT, Venture Capital &amp; Funds",Completed,0.0,0.0,0.0,5.0,5.0,99
2010-11-24,Global Climate,Summary of Proposed Investment (Disclosure Policy 2006),29373,https://disclosures.ifc.org/project-detail/SPI/29373/global-climate,Loan,GLOBAL CLIMATE PARTNERSHIP FUND SA SICAV-SIF,World Region,WLD,Funds,FI,"Global Industry, Financial Markets",Completed,0.0,0.0,75.0,0.0,75.0,99
